no,nama_file,luas_daun,luas_lesi,severity_estimation
59,00060_frog_eye_leaf_spot_jpg.rf.624423d66fbde787aaf71a77d8159664.jpg,4989542,7068,0.14%
60,00062_frog_eye_leaf_spot_jpg.rf.b669409a1c54daa6d78b9d5daebfa728.jpg,2668981,67814,2.54%
61,00063_frog_eye_leaf_spot_jpg.rf.4ddedd4dd35a58f018de5dee3611a1ca.jpg,5570775,204195,3.67%
62,00064_frog_eye_leaf_spot_jpg.rf.9613b9fca76bba57a24987e56fcf2333.jpg,3725830,37915,1.02%
63,00065_frog_eye_leaf_spot_jpg.rf.e33e00b76a2ea3d10e96aa735fc7df33.jpg,4739827,45290,0.96%
64,00066_frog_eye_leaf_spot_jpg.rf.f773b7182007a18ba6edf46d419bbeab.jpg,4493927,76278,1.70%
65,00067_frog_eye_leaf_spot_jpg.rf.585196ebedb33ef7981704bd48325894.jpg,4378967,14111,0.32%
66,00068_frog_eye_leaf_spot_jpg.rf.d1619f8479c3198dceba7aec2f47a2f4.jpg,3543285,66690,1.88%
67,00069_frog_eye_leaf_spot_jpg.rf.13a978ecc39de431304013fdb3a2c8e0.jpg,4595960,20727,0.45%
68,00070_frog_eye_leaf_spot_jpg.rf.5156434754bbb971793958b7f7f6ff28.jpg,3435788,52118,1.52%
69,00071_frog_eye_leaf_spot_jpg.rf.c3c710658d0f0ed2ddf0c502ea045fa2.jpg,3158598,91993,2.91%
70,00072_frog_eye_leaf_spot_jpg.rf.845fd38a339083fe26362fcedd4638cf.jpg,2328013,76047,3.27%
71,00073_frog_eye_leaf_spot_jpg.rf.59c6af4bd38cb58aa68cf6a861d59a22.jpg,4040538,70274,1.74%
72,00074_frog_eye_leaf_spot_jpg.rf.bfdc1a3f4cba76aa9e6836cc2cffbb38.jpg,4283218,80223,1.87%
73,00075_frog_eye_leaf_spot_jpg.rf.8aa65a42897db69b6f3ee444be208ab8.jpg,5369206,17021,0.32%
74,00076_frog_eye_leaf_spot_jpg.rf.1835458d7df00fedeb98dc2b39e3e529.jpg,2882124,43908,1.52%
75,00077_frog_eye_leaf_spot_jpg.rf.427346a5448823481b8b51bc7bbe6d0e.jpg,4997906,8515,0.17%
76,00078_frog_eye_leaf_spot_jpg.rf.bff8b9bf0730539b2e7440eef55631cf.jpg,4282901,42761,1.00%
77,00079_frog_eye_leaf_spot_jpg.rf.bb77783b89958fc11559d7d2b3dd9e3a.jpg,5513583,28891,0.52%
78,00080_frog_eye_leaf_spot_jpg.rf.a170c3e5d301beefef13d21de9ca1850.jpg,6975866,58869,0.84%
79,00081_frog_eye_leaf_spot_jpg.rf.f993e498aa95a26b3008c0b2e7f4f7ce.jpg,5608534,163099,2.91%
80,00082_frog_eye_leaf_spot_jpg.rf.bedd61667066951f9aa985b86b7afd3c.jpg,2760854,38808,1.41%
81,00083_frog_eye_leaf_spot_jpg.rf.94518484dc3be1f8873263f25f775ce6.jpg,1607234,36360,2.26%
82,00084_frog_eye_leaf_spot_jpg.rf.ec17053340b735cd948bc1a07edc431f.jpg,3941612,9623,0.24%
83,00085_frog_eye_leaf_spot_jpg.rf.9632de05fc5b4c442b27b25f646417be.jpg,1865377,106652,5.72%
84,00086_frog_eye_leaf_spot_jpg.rf.c63af056af5eb17f450d5f679b34728e.jpg,4073389,39127,0.96%
85,00087_frog_eye_leaf_spot_jpg.rf.6a30f8954313762bcd1ff053f5f780d1.jpg,3790108,38992,1.03%
86,00088_frog_eye_leaf_spot_jpg.rf.e4c2f4753b82a406db64ca0b49f48391.jpg,5509468,36190,0.66%
87,00089_frog_eye_leaf_spot_jpg.rf.ae095c32a32a76a997ec5c9561f76497.jpg,3217442,31189,0.97%
88,00090_frog_eye_leaf_spot_jpg.rf.a2f28017993cd0c93b14ee776368c813.jpg,5082033,9565,0.19%
89,00091_frog_eye_leaf_spot_jpg.rf.66ebc5db3ee13206dc97ae0362b08198.jpg,6780746,13705,0.20%
90,00092_frog_eye_leaf_spot_jpg.rf.24bfd8b4cadf840df1b5a04367636c2b.jpg,4874891,150372,3.08%
91,00093_frog_eye_leaf_spot_jpg.rf.f3936afe3ecb5143b8462c435e869dc8.jpg,4907758,27609,0.56%
92,00094_frog_eye_leaf_spot_jpg.rf.b8c88ad4c5e84b16fbb1a8ad229c6f76.jpg,4644533,77647,1.67%
93,00095_frog_eye_leaf_spot_jpg.rf.7e53eca5bb71e7413d3a6f32e305f6fd.jpg,4518211,34922,0.77%
94,00096_frog_eye_leaf_spot_jpg.rf.fe3a6ef71f5c45723dd399dcb145b802.jpg,3450692,98489,2.85%
95,00097_frog_eye_leaf_spot_jpg.rf.8b7c391cba4beab9fff4eaf546bbf0d1.jpg,3280546,23471,0.72%
96,00098_frog_eye_leaf_spot_jpg.rf.3a76c80de661d0730ef25ab3846cc46d.jpg,3428352,10921,0.32%
97,00099_frog_eye_leaf_spot_jpg.rf.1d1565c579a190a0e36a586bf89ac2c1.jpg,5564011,100889,1.81%
98,00100_frog_eye_leaf_spot_jpg.rf.436bd91c1874c12deece4745cd90a87d.jpg,3801022,10303,0.27%
99,00101_frog_eye_leaf_spot_jpg.rf.6250f323f690e2e603e267c03f3cde88.jpg,3616125,19639,0.54%
100,00102_frog_eye_leaf_spot_jpg.rf.c3d50f42c2563cd351fde065f35277c7.jpg,4137743,7195,0.17%
101,00103_frog_eye_leaf_spot_jpg.rf.2201cd6b4915614f8efd14999e80db94.jpg,3888136,25109,0.65%
102,00104_frog_eye_leaf_spot_jpg.rf.4772d8ccd98f27afdb49f2eaff610431.jpg,3411835,22080,0.65%
103,00105_frog_eye_leaf_spot_jpg.rf.ca620af73bec94977a58f47fca00a3e4.jpg,1795059,24703,1.38%
104,00106_frog_eye_leaf_spot_jpg.rf.b3671c716cd8b5c665dbb3bb35f94085.jpg,4818382,33919,0.70%
105,00107_frog_eye_leaf_spot_jpg.rf.e1015fefdccd88e083785efe594c8aa9.jpg,4850228,58343,1.20%
106,00108_frog_eye_leaf_spot_jpg.rf.76495f72c715004b598dd532e83fadca.jpg,7491681,12941,0.17%
107,00109_frog_eye_leaf_spot_jpg.rf.21852800f7ddd73842fd9a5b886e54fb.jpg,5430503,34286,0.63%
108,00110_frog_eye_leaf_spot_jpg.rf.df73a7778cb8362e859be49bc4afe079.jpg,5402293,147227,2.73%
109,00111_frog_eye_leaf_spot_jpg.rf.d58de536042a173fcaae9bebbfd2502f.jpg,5178279,13526,0.26%
110,00112_frog_eye_leaf_spot_jpg.rf.c5dba98ee5b82d2dbd05fda43481532f.jpg,3071207,27957,0.91%
111,00113_frog_eye_leaf_spot_jpg.rf.fcd2d043fbcb388061085b26bf68efd1.jpg,4864482,24123,0.50%
112,00114_frog_eye_leaf_spot_jpg.rf.daf93b0dd6150345bda805fbd3a545b1.jpg,4358932,16131,0.37%
113,00115_frog_eye_leaf_spot_jpg.rf.40d1cd680a8a6f059902e340cf458203.jpg,5727919,24242,0.42%
114,00116_frog_eye_leaf_spot_jpg.rf.00439b3ac503704cb4dfb7acd6f56a78.jpg,1626072,9434,0.58%
115,00117_frog_eye_leaf_spot_jpg.rf.55b18e1f409bd06daf07117e80e677d6.jpg,4263665,20235,0.47%
116,00118_frog_eye_leaf_spot_jpg.rf.cee9ce20223dd9c76f440a0ddca27d9d.jpg,3384606,221609,6.55%
117,00119_frog_eye_leaf_spot_jpg.rf.ec86c695a846b9a3d026927de1ac8980.jpg,3436356,21086,0.61%
118,00120_frog_eye_leaf_spot_jpg.rf.2e288419aafb377081d82ec57082a7ce.jpg,4968635,19203,0.39%
119,00121_frog_eye_leaf_spot_jpg.rf.43a92e50ba236ed0e3118fcc02f6bd11.jpg,4706434,61696,1.31%
120,00122_frog_eye_leaf_spot_jpg.rf.f51a95f99118098cf006fbd40a378523.jpg,1582686,38070,2.41%
121,00123_frog_eye_leaf_spot_jpg.rf.576771aa7892eb462fc33d8c6ee55e5d.jpg,2643202,10538,0.40%
122,00124_frog_eye_leaf_spot_jpg.rf.2d161d925a76e7e08f369f26ac06870b.jpg,3431140,63461,1.85%
123,00125_frog_eye_leaf_spot_jpg.rf.296c182ed2a2cdbbf3f937d5c866a3ae.jpg,3599358,139621,3.88%
124,00126_frog_eye_leaf_spot_jpg.rf.d6808eb2118623a3a0b2a5c4af33cd5a.jpg,2612761,23298,0.89%
125,00127_frog_eye_leaf_spot_jpg.rf.7691f65d92e65f2259d8bca16f7749f8.jpg,4575921,41732,0.91%
126,00128_frog_eye_leaf_spot_jpg.rf.cfe18b65d6ef654b4a175245073e6f41.jpg,3068170,15697,0.51%
127,00129_frog_eye_leaf_spot_jpg.rf.ba95e85dc92c6c38a408add6750d50d9.jpg,2693549,18578,0.69%
128,00130_frog_eye_leaf_spot_jpg.rf.60fc904f2d75e0f1df6b40a3dea3f5c4.jpg,3785728,106266,2.81%
129,00131_frog_eye_leaf_spot_jpg.rf.b635bf1497a69606db3079a68f76e67e.jpg,5536903,26749,0.48%
130,00132_frog_eye_leaf_spot_jpg.rf.21c85651e7d2a17f029360903f5d8b02.jpg,4622684,12932,0.28%
131,00133_frog_eye_leaf_spot_jpg.rf.1e768a3ccb4b8ddeffbf73de13fa8b51.jpg,3563896,35624,1.00%
132,00134_frog_eye_leaf_spot_jpg.rf.2bd5af7b54b21a685cce4f26839b0b32.jpg,5776779,45513,0.79%
133,00135_frog_eye_leaf_spot_jpg.rf.0192d5b5359838e18a9d22d2d72f075c.jpg,5699108,98819,1.73%
134,00136_frog_eye_leaf_spot_jpg.rf.f9b1281d76ec8e7bcecd80e43d897125.jpg,4332130,87131,2.01%
135,00137_frog_eye_leaf_spot_jpg.rf.78bdc77b9097626173a4435f1a36f7f2.jpg,3845771,133845,3.48%
136,00138_frog_eye_leaf_spot_jpg.rf.90277708268df9aaf2b354e70c027e37.jpg,5816558,44703,0.77%
137,00139_frog_eye_leaf_spot_jpg.rf.185e119053b6c565289b62f523ccb876.jpg,4554439,44606,0.98%
138,00140_frog_eye_leaf_spot_jpg.rf.fab8aeb723bf8ef772171e9336a0c2c9.jpg,4903338,110741,2.26%
139,00141_frog_eye_leaf_spot_jpg.rf.9b39500ba38871787135d8329d7e5674.jpg,1821566,8268,0.45%
140,00142_frog_eye_leaf_spot_jpg.rf.d392d0c19553386c075492419722245b.jpg,5361121,41937,0.78%
141,00143_frog_eye_leaf_spot_jpg.rf.6777f80a240c4dd6bbbc8817968045b9.jpg,2227578,33210,1.49%
142,00144_frog_eye_leaf_spot_jpg.rf.2815831389437b76d6d89930be887b31.jpg,3863056,14365,0.37%
143,00145_frog_eye_leaf_spot_jpg.rf.1ed32ff8219b71ea6b1b8b9140cc7341.jpg,4018419,59370,1.48%
144,00146_frog_eye_leaf_spot_jpg.rf.47f4d61b21070523c27a510a01c1299e.jpg,3573510,168726,4.72%
145,00147_frog_eye_leaf_spot_jpg.rf.82a91af71b33c126fbc240b6670931d6.jpg,4055276,24187,0.60%
146,00148_frog_eye_leaf_spot_jpg.rf.b0595e827e3430f92890d24716c058ba.jpg,2531949,40366,1.59%
147,00149_frog_eye_leaf_spot_jpg.rf.6a6955a168f07fee3977703740c9b579.jpg,3624576,124922,3.45%
148,00150_frog_eye_leaf_spot_jpg.rf.b44d366c59394bfc101981a596632315.jpg,4740991,48672,1.03%
149,00151_frog_eye_leaf_spot_jpg.rf.b62894cb97b90ea1f6801bec25a99913.jpg,2970171,6673,0.22%
150,00152_frog_eye_leaf_spot_jpg.rf.3353fa327eadb9cbf4fad9e48a0dfef9.jpg,4969349,35815,0.72%
151,00153_frog_eye_leaf_spot_jpg.rf.943090b5c7c6bc14921ee26fbbf732e4.jpg,1710503,100650,5.88%
152,00154_frog_eye_leaf_spot_jpg.rf.c285fe0166cb0d4e3f8e503e2045f384.jpg,5556560,6677,0.12%
153,00155_frog_eye_leaf_spot_jpg.rf.80e530af28f58c30dad1ee5589c5a959.jpg,3686959,42185,1.14%
154,00156_frog_eye_leaf_spot_jpg.rf.678d53805537ccdb72556ef66cf2af4b.jpg,4403778,13114,0.30%
155,00157_frog_eye_leaf_spot_jpg.rf.580b059134ad18507c5106a5948ab158.jpg,4794170,43963,0.92%
156,00158_frog_eye_leaf_spot_jpg.rf.143bf9c6e688c5b0def3fde637cb26fa.jpg,5666907,9979,0.18%
157,00159_frog_eye_leaf_spot_jpg.rf.2601370ea522e38041c4454a56417f5d.jpg,5302417,26579,0.50%
158,00160_frog_eye_leaf_spot_jpg.rf.60704b2ae7c31233ac81107d5a0a48a3.jpg,4261160,39754,0.93%
159,00161_frog_eye_leaf_spot_jpg.rf.d2a4e33990c4dc64e9622267ef901ec5.jpg,5385445,51228,0.95%
160,00162_frog_eye_leaf_spot_jpg.rf.f3bcc13e5d5c9ef6c540a3bb5dbe0ebc.jpg,5777817,43169,0.75%
161,00163_frog_eye_leaf_spot_jpg.rf.e1c8a5ca8a20362a170470e2892fbfee.jpg,3492464,119256,3.41%
162,00164_frog_eye_leaf_spot_jpg.rf.500afa992c79f1e8780a4c5011dac0fc.jpg,5486545,8429,0.15%
163,00165_frog_eye_leaf_spot_jpg.rf.e58fd70dad532a96bb524d63de79b8bc.jpg,2784875,17078,0.61%
164,00166_frog_eye_leaf_spot_jpg.rf.c2b8e113827a68abe984ac2230b6d23d.jpg,2537012,80013,3.15%
165,00167_frog_eye_leaf_spot_jpg.rf.f56a927887e0be56f8588e66e76425b4.jpg,5046793,46262,0.92%
166,00168_frog_eye_leaf_spot_jpg.rf.7106c63208c2666666155b8cdd24587f.jpg,3159456,141088,4.47%
167,00169_frog_eye_leaf_spot_jpg.rf.99871c09bf574492e357696d8a9bac6a.jpg,5324230,15393,0.29%
168,00170_frog_eye_leaf_spot_jpg.rf.c8f4b61af7b17d5dbe14b1cc3ff29b13.jpg,4501882,19189,0.43%
169,00171_frog_eye_leaf_spot_jpg.rf.4db07308defecb8bc55ff90075c5d86f.jpg,3202704,10761,0.34%
170,00172_frog_eye_leaf_spot_jpg.rf.13a63395675de4223282bfe8d2f955cf.jpg,3293567,41987,1.27%
171,00173_frog_eye_leaf_spot_jpg.rf.d05ff8d09e5ae92c46b759cf88621896.jpg,3298760,56678,1.72%
172,00174_frog_eye_leaf_spot_jpg.rf.01d9a9827ae88685f806b1b914a7777c.jpg,3940834,47718,1.21%
173,00175_frog_eye_leaf_spot_jpg.rf.1c735160b8d339980487432c8e10b601.jpg,4357094,48374,1.11%
174,00176_frog_eye_leaf_spot_jpg.rf.841ae2196bf244045c64d499d2d2f305.jpg,3971349,91392,2.30%
175,00177_frog_eye_leaf_spot_jpg.rf.87edea2eeefe6cc820631183fe16a8e3.jpg,3763013,44937,1.19%
176,04354_healthy_jpg.rf.fe619735923f17a031bec7f5112b177f.jpg,2114800,0,0.00%
177,04355_healthy_jpg.rf.78b5fd889fd96fabce16b09b4f56202d.jpg,4029913,0,0.00%
178,04356_healthy_jpg.rf.1d2600dd387a2cbb23b8d52edaf9d325.jpg,3678512,0,0.00%
179,04357_healthy_jpg.rf.f0b8132c51d533296c900662ede13d3f.jpg,3428885,0,0.00%
180,04358_healthy_jpg.rf.f93ca5aad0db2dbb985b0d479a0fc716.jpg,4595202,0,0.00%
181,04359_healthy_jpg.rf.710d4cd7bc059a2ed1f7aa360b8cf527.jpg,4750434,0,0.00%
182,04360_healthy_jpg.rf.5946aa05da6ad6ce53f6cda906d97d8b.jpg,2607058,0,0.00%
183,04361_healthy_jpg.rf.346ccfb94026f40100b3b4f4e9c4bfe7.jpg,3770923,0,0.00%
184,04362_healthy_jpg.rf.5650e3c94d557cff67792e6c83ca1b37.jpg,4055387,0,0.00%
185,04363_healthy_jpg.rf.f8af4381fd6144edefe7cd320377d823.jpg,4416628,0,0.00%
186,04364_healthy_jpg.rf.ac41146fa9ca7c9003feab331ab285c8.jpg,2461283,0,0.00%
187,04365_healthy_jpg.rf.079794c3803bf19f2ed380cab4511170.jpg,1813781,0,0.00%
188,04366_healthy_jpg.rf.efb289540cca823c1bf0f4fff2678ca2.jpg,4350936,0,0.00%
189,04367_healthy_jpg.rf.05897ebfa60b3a4b39a85ec89d531909.jpg,6912571,0,0.00%
190,04368_healthy_jpg.rf.fbfffe26d8d383b4ffc4220dcc1f4dc2.jpg,1208530,0,0.00%
191,04369_healthy_jpg.rf.3c672d9af1ae9166503d78e97eedad07.jpg,1750622,0,0.00%
192,04370_healthy_jpg.rf.f515a2d176b9c6b1ddfebacc6ae05b6e.jpg,1989040,0,0.00%
193,04371_healthy_jpg.rf.ae994e35a3c487785a90b5b0f6cc57a0.jpg,4243248,0,0.00%
194,04372_healthy_jpg.rf.9244d231c3ea992d6fcd2e10d4ae559b.jpg,2083909,0,0.00%
195,04373_healthy_jpg.rf.549b733590dc2397684d8fc98ae61660.jpg,3377657,0,0.00%
196,04374_healthy_jpg.rf.22b1d5a3d6470356e2222b8bfc97d901.jpg,5686613,0,0.00%
197,04375_healthy_jpg.rf.721c9e1abb4dc012e2ee2a15a15e7b7a.jpg,1551652,0,0.00%
198,04376_healthy_jpg.rf.316c59df4deab2d8806503ece2ec4cde.jpg,2584221,0,0.00%
199,04377_healthy_jpg.rf.abac52a982eec5af813e5905873e4f15.jpg,3793837,0,0.00%
200,04378_healthy_jpg.rf.eb5d8d69233277f637dbd1d5056e0c56.jpg,2472514,0,0.00%
201,04379_healthy_jpg.rf.0bfdba15753108ef19d5308ac56162ea.jpg,2348810,0,0.00%
202,04380_healthy_jpg.rf.5bd7caa4c998deda86d5f508d8298872.jpg,4922322,0,0.00%
203,04381_healthy_jpg.rf.d5b1b65aa78765db9c0feb71603c5e85.jpg,4958211,0,0.00%
204,04382_healthy_jpg.rf.ec6a24544f073aa50979180e2be312bf.jpg,4077190,0,0.00%
205,04383_healthy_jpg.rf.b4f82727be249689d9c3b1db4054f9b1.jpg,3182010,0,0.00%
206,04384_healthy_jpg.rf.0a97466f9c4a57d9c5ed9c46356e8dda.jpg,3396763,0,0.00%
207,04385_healthy_jpg.rf.33dd46ead331f868e7e09f10c5544bd5.jpg,4375994,0,0.00%
208,04386_healthy_jpg.rf.d5737217875dcff19502ea6de8d35ebc.jpg,4712455,0,0.00%
209,04387_healthy_jpg.rf.46ec98b656d795ef51b85a3e6bb81e94.jpg,5712846,0,0.00%
210,04388_healthy_jpg.rf.0a6dc97d95f1f63232e399ae0454fa40.jpg,5546905,0,0.00%
211,04389_healthy_jpg.rf.f83db52eaced23391a11ecd5d02267ab.jpg,3885471,0,0.00%
212,04390_healthy_jpg.rf.31f08cbe02b259baddbd515654c470e8.jpg,3942967,0,0.00%
213,04391_healthy_jpg.rf.41052cf8c4cb47e52802b5447bbd7b31.jpg,2858051,0,0.00%
214,04392_healthy_jpg.rf.174087edf230a2cead5e5424199f7800.jpg,4650753,0,0.00%
215,04393_healthy_jpg.rf.ea2461269c05318aff2366a6c206bd28.jpg,4420776,0,0.00%
216,04394_healthy_jpg.rf.6e719cc244cc795641c42e28b6543d0d.jpg,5117992,0,0.00%
217,04395_healthy_jpg.rf.220a209163e94930d431ea9f13816521.jpg,4703918,0,0.00%
218,04396_healthy_jpg.rf.d916459831eda2776a79a1beb56375f3.jpg,3464893,0,0.00%
219,04397_healthy_jpg.rf.df75b3a15e23de12f5a865608b1fd8f2.jpg,4204564,0,0.00%
220,04398_healthy_jpg.rf.13fd6a8388be1dd54a5e8e56e2b27019.jpg,3374270,0,0.00%
221,04399_healthy_jpg.rf.1dd19ea34e14e6335d3b11032b451730.jpg,4668786,0,0.00%
222,04400_healthy_jpg.rf.679abbc7449acd58ed17608a4c357d11.jpg,4475444,0,0.00%
223,04401_healthy_jpg.rf.5d58970f3efbdb92181469dc81da74d9.jpg,2076845,0,0.00%
224,04402_healthy_jpg.rf.b722d83d9cff07534efc3b0bcc4f62f9.jpg,4770761,0,0.00%
225,04403_healthy_jpg.rf.2b74c83dedb0f2fabaff55d9a62d32b5.jpg,6018417,0,0.00%
226,04404_healthy_jpg.rf.138600a2bd39dcebdde5a2dc3fcfebf7.jpg,4615860,0,0.00%
227,04405_healthy_jpg.rf.65e46a8149e2f6d949d4d13803ae40fc.jpg,2659109,0,0.00%
228,04406_healthy_jpg.rf.ada2bcbba4bf7274697128e85a3ed9b5.jpg,4572588,0,0.00%
229,04407_healthy_jpg.rf.65598f92e32776b6ae233523a725ddbf.jpg,1816486,0,0.00%
230,04408_healthy_jpg.rf.17e2658d0a3c77aac766782e37c266ab.jpg,5494576,0,0.00%
